isbn13,titre,auteur_prenom,auteur_nom,date_publication,nb_pages,lien google book,recherche google
9782070437436,Le Guide du Voyageur Galactique,Douglas,Adams,11/03/2010,288,https://www.google.fr/books/edition/_/tOSSRAAACAAJ?hl=fr,https://www.google.com/search?q=9782070437436
9782070322787,Propos sur les pouvoirs,Alain,Alain,12/02/1985,384,https://www.google.fr/books/edition/_/gq99QgAACAAJ?hl=fr,https://www.google.com/search?q=9782070322787
9782070365616,Le livre de ma mère,Cohen,Albert,,,https://www.google.fr/books/edition/_/s6skAQAAMAAJ?hl=fr,https://www.google.com/search?q=9782070365616
9782909450018,Des lumières et des ombres,Henri,Alekan,20/07/2001,289,https://www.google.fr/books/edition/_/UAyNPQAACAAJ?hl=fr,https://www.google.com/search?q=9782909450018
9782080707253,La divine comédie,Dante,Alighieri,04/01/1999,380,https://www.google.fr/books/edition/_/KCE3QwAACAAJ?hl=fr,https://www.google.com/search?q=9782080707253
9782221054833,Oeuvres anthumes,Alphonse,Allais,16/03/1989,1173,https://www.google.fr/books/edition/_/SVEbAQAAIAAJ?hl=fr,https://www.google.com/search?q=9782221054833
9791020900111,Sur les épaules de Darwin - Les battements du temps,Jean,Ameisen,17/10/2012,444,https://www.google.fr/books/edition/_/OUXiMgEACAAJ?hl=fr,https://www.google.com/search?q=9791020900111
9782070387861,Les contes d'Andersen,Hans,Andersen,25/05/1994,480,https://www.google.fr/books/edition/_/WH8JPQAACAAJ?hl=fr,https://www.google.com/search?q=9782070387861
9782266043878,Condition de l'homme moderne,Hannah,Arendt,05/03/1992,406,https://www.google.fr/books/edition/_/lseVOwAACAAJ?hl=fr,https://www.google.com/search?q=9782266043878
9782020047319,L'Homme devant la mort,Philippe,Ariès,01/11/1977,641,https://www.google.fr/books/edition/_/_1IQAQAAIAAJ?hl=fr,https://www.google.com/search?q=9782020047319
9782020047364,"Essais sur l'histoire de la mort en Occident, du Moyen âge à nos jours",Philippe,Ariès,01/01/1977,222,https://www.google.fr/books/edition/_/NOT_FOUND?hl=fr,https://www.google.com/search?q=9782020047364
9782253942061,Machiavel et les tyrannies modernes,Raymond,Aron,01/02/1995,438,https://www.google.fr/books/edition/_/SpwBHQAACAAJ?hl=fr,https://www.google.com/search?q=9782253942061
9782253147947,Geisha,Golden,Arthur,,,https://www.google.fr/books/edition/_/kgQ-mgEACAAJ?hl=fr,https://www.google.com/search?q=9782253147947
9782070415700,"Le cycle de Fondation, tome I : Fondation",Isaac,Asimov,11/10/2000,251,https://www.google.fr/books/edition/_/TQ4DyAEACAAJ?hl=fr,https://www.google.com/search?q=9782070415700
9782277124047,Les Cavernes d'acier,Isaac,Asimov,26/02/2001,,https://www.google.fr/books/edition/_/7OpoAAAACAAJ?hl=fr,https://www.google.com/search?q=9782277124047
9782277134534,Les Robots,Isaac,Asimov,26/02/2001,,https://www.google.fr/books/edition/_/6gFJPQAACAAJ?hl=fr,https://www.google.com/search?q=9782277134534
9782277220558,Espace vital,Isaac,Asimov,26/02/2001,250,https://www.google.fr/books/edition/_/lNEAPgAACAAJ?hl=fr,https://www.google.com/search?q=9782277220558
9782253153481,Blaise Pascal ou le génie français,Jacques,Attali,09/10/2002,535,https://www.google.fr/books/edition/_/tVAzHAAACAAJ?hl=fr,https://www.google.com/search?q=9782253153481
9782080700162,Pensées pour moi-même,Marc,Aurèle,04/01/1999,222,https://www.google.fr/books/edition/_/XkYGzgEACAAJ?hl=fr,https://www.google.com/search?q=9782080700162
9782868696946,Trilogie new-yorkaise,Paul,Auster,25/06/1991,448,https://www.google.fr/books/edition/_/RcK2wAEACAAJ?hl=fr,https://www.google.com/search?q=9782868696946
9782868698209,L'invention de la solitude,Paul,Auster,25/03/1992,304,https://www.google.fr/books/edition/_/GK_ljwEACAAJ?hl=fr,https://www.google.com/search?q=9782868698209
9782221092071,Dictionnaire de la civilisation mésopotamienne,Luc,Bachelot,27/09/2001,1024,https://www.google.fr/books/edition/_/__1lQgAACAAJ?hl=fr,https://www.google.com/search?q=9782221092071
9782266083300,Le colonel Chabert,Honore,Balzac,,,https://www.google.fr/books/edition/_/uDkWDQEACAAJ?hl=fr,https://www.google.com/search?q=9782266083300
9782070142378,Trois fois dès l'aube,Alessandro,Baricco,26/02/2015,128,https://www.google.fr/books/edition/_/nZkYrgEACAAJ?hl=fr,https://www.google.com/search?q=9782070142378
9782070419272,"Constellations : Mozart, Rossini, Benjamin, Adorno",Alessandro,Baricco,28/03/2002,177,https://www.google.fr/books/edition/_/zcXOkQEACAAJ?hl=fr,https://www.google.com/search?q=9782070419272
