isbn13,titre,auteur_prenom,auteur_nom,date_publication,nb_pages,lien google book,recherche google,cover
9782070437436,Le Guide du Voyageur Galactique,Douglas,Adams,11/03/2010,288,https://www.google.fr/books/edition/_/tOSSRAAACAAJ?hl=fr,https://www.google.com/search?q=9782070437436,https://inventaire.io/img/entities/a35bf2e22c5a5e65856038dcd4bf8293920febc9
9782070322787,Propos sur les pouvoirs,Alain,Alain,12/02/1985,384,https://www.google.fr/books/edition/_/gq99QgAACAAJ?hl=fr,https://www.google.com/search?q=9782070322787,https://inventaire.io/img/entities/86a786812fcb31331696ca6cb570a626f1e8f188
9782070365616,Le livre de ma mère,Cohen,Albert,,,https://www.google.fr/books/edition/_/s6skAQAAMAAJ?hl=fr,https://www.google.com/search?q=9782070365616,https://inventaire.io/img/entities/2ad239df85b63380a686bb6402d7e19beda7a28e
9782909450018,Des lumières et des ombres,Henri,Alekan,20/07/2001,289,https://www.google.fr/books/edition/_/UAyNPQAACAAJ?hl=fr,https://www.google.com/search?q=9782909450018,https://inventaire.io/img/entities/2620444fe5dd83fd7f717212e938e1cfcbf6bd7e
9782080707253,La divine comédie,Dante,Alighieri,04/01/1999,380,https://www.google.fr/books/edition/_/KCE3QwAACAAJ?hl=fr,https://www.google.com/search?q=9782080707253,https://inventaire.io/img/entities/20b8a4b0bfc158c6833d29c6173634f9f4f08411
9782221054833,Oeuvres anthumes,Alphonse,Allais,16/03/1989,1173,https://www.google.fr/books/edition/_/SVEbAQAAIAAJ?hl=fr,https://www.google.com/search?q=9782221054833,https://inventaire.io/img/entities/035cd1648084b7eca267e7005580f186aeff8351
9791020900111,Sur les épaules de Darwin - Les battements du temps,Jean,Ameisen,17/10/2012,444,https://www.google.fr/books/edition/_/OUXiMgEACAAJ?hl=fr,https://www.google.com/search?q=9791020900111,https://inventaire.io/img/entities/fe6ebc840779927d81ccd5d4bedcc08461e18e10
9782070387861,Les contes d'Andersen,Hans,Andersen,25/05/1994,480,https://www.google.fr/books/edition/_/WH8JPQAACAAJ?hl=fr,https://www.google.com/search?q=9782070387861,https://inventaire.io/img/entities/1c6aa01079b5dcdfba615b0a93e4da148c25af8e
9782266043878,Condition de l'homme moderne,Hannah,Arendt,05/03/1992,406,https://www.google.fr/books/edition/_/lseVOwAACAAJ?hl=fr,https://www.google.com/search?q=9782266043878,https://inventaire.io/img/entities/4bab517aeff1ed754cda33f1d0c149dfcebb199a
9782020047319,L'Homme devant la mort,Philippe,Ariès,01/11/1977,641,https://www.google.fr/books/edition/_/_1IQAQAAIAAJ?hl=fr,https://www.google.com/search?q=9782020047319,https://inventaire.io/img/entities/1163c1e383d8d1e9c0406911f0d2d7d342732554
9782020047364,"Essais sur l'histoire de la mort en Occident, du Moyen âge à nos jours",Philippe,Ariès,01/01/1977,222,https://www.google.fr/books/edition/_/NOT_FOUND?hl=fr,https://www.google.com/search?q=9782020047364,https://inventaire.io/img/entities/b36f16427a122daaefcfbbf2e0a4e4574acad6c2
9782253942061,Machiavel et les tyrannies modernes,Raymond,Aron,01/02/1995,438,https://www.google.fr/books/edition/_/SpwBHQAACAAJ?hl=fr,https://www.google.com/search?q=9782253942061,https://inventaire.io/img/entities/3ca076e4e163d69ab1df7ca00bfe960b1d903524
9782253147947,Geisha,Golden,Arthur,,,https://www.google.fr/books/edition/_/kgQ-mgEACAAJ?hl=fr,https://www.google.com/search?q=9782253147947,https://inventaire.io/img/entities/ea39293f31070b66febcbf95c873a393fec72643
9782070415700,"Le cycle de Fondation, tome I : Fondation",Isaac,Asimov,11/10/2000,251,https://www.google.fr/books/edition/_/TQ4DyAEACAAJ?hl=fr,https://www.google.com/search?q=9782070415700,https://inventaire.io/img/entities/0fe0eb6844363505eec98a3e6cae7a3ec4c859e4
9782277124047,Les Cavernes d'acier,Isaac,Asimov,26/02/2001,,https://www.google.fr/books/edition/_/7OpoAAAACAAJ?hl=fr,https://www.google.com/search?q=9782277124047,https://inventaire.io/img/entities/ef10c16299fffcc120310b51ae77a785869f9426
9782277134534,Les Robots,Isaac,Asimov,26/02/2001,,https://www.google.fr/books/edition/_/6gFJPQAACAAJ?hl=fr,https://www.google.com/search?q=9782277134534,https://inventaire.io/img/entities/171c061f9df78ebad06485ffa8b4c817cfea3d54
9782277220558,Espace vital,Isaac,Asimov,26/02/2001,250,https://www.google.fr/books/edition/_/lNEAPgAACAAJ?hl=fr,https://www.google.com/search?q=9782277220558,https://inventaire.io/img/entities/46335c1b8271bd52e9bdd36f7648b0b830c7e28a
9782253153481,Blaise Pascal ou le génie français,Jacques,Attali,09/10/2002,535,https://www.google.fr/books/edition/_/tVAzHAAACAAJ?hl=fr,https://www.google.com/search?q=9782253153481,https://inventaire.io/img/entities/3dce94ce1a1af73f21347671b4873d886885cdc4
9782080700162,Pensées pour moi-même,Marc,Aurèle,04/01/1999,222,https://www.google.fr/books/edition/_/XkYGzgEACAAJ?hl=fr,https://www.google.com/search?q=9782080700162,https://inventaire.io/img/entities/41f9668521b6bc5f05b1b041b86a8df876b622bd
9782868696946,Trilogie new-yorkaise,Paul,Auster,25/06/1991,448,https://www.google.fr/books/edition/_/RcK2wAEACAAJ?hl=fr,https://www.google.com/search?q=9782868696946,https://inventaire.io/img/entities/73d881f0adbac4a45d3fe5e49988856b323a268f
9782868698209,L'invention de la solitude,Paul,Auster,25/03/1992,304,https://www.google.fr/books/edition/_/GK_ljwEACAAJ?hl=fr,https://www.google.com/search?q=9782868698209,https://inventaire.io/img/entities/b97eed4c2a5b17089df9d9c185bfbceaa8d95a69
9782221092071,Dictionnaire de la civilisation mésopotamienne,Luc,Bachelot,27/09/2001,1024,https://www.google.fr/books/edition/_/__1lQgAACAAJ?hl=fr,https://www.google.com/search?q=9782221092071,https://inventaire.io/img/entities/4c4279a0d3d0c66db3330a5c5d15772c85cbb5f0
9782266083300,Le colonel Chabert,Honore,Balzac,,,https://www.google.fr/books/edition/_/uDkWDQEACAAJ?hl=fr,https://www.google.com/search?q=9782266083300,https://inventaire.io/img/entities/b082d79dea41831f1526cda547f1394e188c46b9
